Name,Team,Base Salary,Signing Bonus,Other Bonus,Total Salary,Cap Value,Percentage,Rating,Sqrt(rating)
"   Nicholas, Stephen ",Falcons ,"$370,000 ","$467,500 ","$5,400 ","$375,400 ","$492,275 ",1.438465637,3.12,1.7664
"   Nkang, Chad ",Jaguars ,"$370,000 ","$36,250 ","$4,320 ","$374,320 ","$328,676 ",1.154092755,1.06,1.0296
"   Okeafor, Chike ",Cardinals ,"$4,500,000 ","$4,500,000 ","$4,440 ","$4,504,440 ","$5,404,440 ",0.098569412,9.94,3.1528
"   Orr, Shantee ",Browns ,"$605,000 ",$0 ,"$40,000 ","$645,000 ","$445,000 ",6.201550388,1.25,1.1180
"   Peterson, Julian ",Seahawks ,"$3,500,000 ","$11,500,000 ","$1,501,800 ","$5,001,800 ","$7,301,800 ",30.02519093,14.44,3.8000
"   Peterson, Mike ",Jaguars ,"$3,000,000 ","$2,000,000 ","$1,606,240 ","$4,606,240 ","$4,939,575 ",34.87095766,12.88,3.5889
"   Pettway, Kenneth ",Packers ,"$520,000 ",$0 ,$0 ,"$520,000 ","$397,647 ",0,0.62,0.7874
"   Pierce, Antonio ",Giants ,"$4,000,000 ","$3,250,000 ",$0 ,"$4,000,000 ","$5,300,000 ",0,12.88,3.5889
"   Poppinga, Brady ",Packers ,"$600,000 ",$0 ,"$3,403,960 ","$4,003,960 ","$4,005,710 ",85.01483531,8.38,2.8948
"   Porter, Joey ",Dolphins ,"$4,800,000 ","$12,000,000 ","$400,000 ","$5,200,000 ","$7,400,000 ",7.692307692,10.69,3.2696
"   Posluszny, Paul ",Bills ,"$500,000 ","$1,468,000 ","$1,072,400 ","$1,572,400 ","$872,400 ",68.20147545,16.06,4.0075
"   Rivers, Keith ",Bengals ,"$295,000 ","$1,225,000 ","$4,565,000 ","$6,085,000 ","$1,904,166 ",75.02054232,5.06,2.2494
"   Roach, Nick ",Bears ,"$370,000 ",$0 ,"$4,800 ","$374,800 ","$374,800 ",1.280683031,6.31,2.5120
"   Rogers, Justin ",Cowboys ,"$370,000 ","$83,500 ","$6,240 ","$376,240 ","$376,240 ",1.658515841,2.25,1.5000
"   Ruud, Barrett ",Buccaneers ,"$520,000 ","$2,060,000 ","$3,840 ","$523,840 ","$1,039,590 ",0.733048259,19.56,4.4227
"   Ryans, DeMeco ",Texans ,"$445,000 ","$1,425,000 ","$1,131,720 ","$1,576,720 ","$1,282,970 ",71.77685321,18.00,4.2426
"   Scott, Bart ",Ravens ,"$3,400,000 ","$6,500,000 ","$2,640 ","$3,402,640 ","$5,569,308 ",0.077586815,11.38,3.3734
"   Senn, Jordan ",Colts ,"$295,000 ","$10,000 ",$0 ,"$305,000 ","$298,333 ",0,2.44,1.5620
"   Session, Clint ",Colts ,"$370,000 ","$370,000 ","$5,280 ","$375,280 ","$467,780 ",1.406949478,13.38,3.6579
"   Seward, Adam ",Panthers ,"$927,000 ",$0 ,"$5,640 ","$932,640 ","$932,640 ",0.604734946,1.50,1.2247
"   Shanle, Scott ",Saints ,"$1,500,000 ","$4,000,000 ","$200,000 ","$1,700,000 ","$2,600,000 ",11.76470588,11.75,3.4278
"   Siler, Brandon ",Chargers ,"$370,000 ","$42,725 ","$6,000 ","$376,000 ","$386,681 ",1.595744681,2.94,1.7146
"   Sims, Ernie ",Lions ,"$715,000 ",$0 ,"$1,465,000 ","$2,180,000 ","$2,605,000 ",67.20183486,14.38,3.7921
"   Smith, Daryl ",Jaguars ,"$605,000 ","$4,500,000 ","$2,235,280 ","$2,840,280 ","$3,696,947 ",78.69928317,12.06,3.4728
"   Spencer, Cody ",Jets ,"$700,000 ",$0 ,"$50,000 ","$750,000 ","$750,000 ",6.666666667,3.12,1.7664
"   Spikes, Takeo ",49ers ,"$1,040,000 ","$300,000 ","$360,000 ","$1,700,000 ","$1,680,000 ",21.17647059,15.31,3.9128
"   Stamer, Josh ",Titans ,"$605,000 ","$175,000 ","$31,240 ","$811,240 ","$698,740 ",3.850894926,1.50,1.2247
"   Stills, Gary ",Rams ,"$730,000 ",$0 ,$0 ,"$730,000 ","$445,000 ",0,2.38,1.5427
"   Tatupu, Lofa ",Seahawks ,"$520,000 ","$4,000,000 ","$100,000 ","$4,620,000 ","$2,736,666 ",2.164502165,13.19,3.6318
"   Thomas, Patrick ",Chiefs ,"$445,000 ",$0 ,"$5,640 ","$450,640 ","$450,640 ",1.251553346,6.31,2.5120
"   Thomas, Zach ",Cowboys ,"$1,000,000 ","$1,000,000 ","$1,005,760 ","$3,005,760 ","$1,255,760 ",33.46108804,14.19,3.7670
"   Thompson, Chaun ",Texans ,"$650,000 ","$650,000 ","$50,000 ","$1,350,000 ","$1,025,000 ",3.703703704,1.88,1.3711
"   Thornton, David ",Titans ,"$2,900,000 ","$7,000,000 ","$606,240 ","$3,506,240 ","$4,806,240 ",17.29031669,10.88,3.2985
"   Timmons, Lawrence ",Steelers ,"$370,000 ",$0 ,"$1,829,760 ","$2,199,760 ","$1,754,510 ",83.17998327,11.06,3.3257
"   Tinoisamoa, Pisa ",Rams ,"$3,000,000 ","$5,000,000 ","$4,200 ","$3,004,200 ","$4,004,200 ",0.139804274,16.50,4.0620
"   Trusnik, Jason ",Jets ,"$370,000 ",$0 ,"$6,240 ","$376,240 ","$321,534 ",1.658515841,2.25,1.5000
"   Tucker, Jyles ",Chargers ,"$370,000 ","$250,000 ","$3,505,640 ","$4,125,640 ","$3,925,640 ",84.97202858,6.69,2.5865
"   Tulloch, Stephen ",Titans ,"$445,000 ","$429,500 ","$6,120 ","$451,120 ","$558,495 ",1.356623515,13.25,3.6401
"   Ulbrich, Jeff ",49ers ,"$1,875,000 ","$2,000,000 ","$55,760 ","$1,930,760 ","$2,280,760 ",2.887981935,2.75,1.6583
"   Urlacher, Brian ",Bears ,"$1,589,285 ","$2,500,000 ","$50,000 ","$4,139,285 ","$5,725,509 ",1.207938086,16.31,4.0386
"   Vilma, Jonathan ",Saints ,"$4,097,500 ",$0 ,"$100,000 ","$4,197,500 ","$4,097,500 ",2.382370459,21.69,4.6573
"   Vrabel, Mike ",Patriots ,"$1,800,000 ","$5,180,000 ","$1,350,840 ","$3,150,840 ","$4,186,840 ",42.87237689,9.31,3.0512
"   Ware, DeMarcus ",Cowboys ,"$725,000 ",$0 ,"$1,396,240 ","$2,121,240 ","$2,163,240 ",65.82187777,17.38,4.1689
"   Washington, Marcus ",Redskins ,"$4,425,000 ","$3,415,000 ",$0 ,"$4,425,000 ","$6,445,416 ",0,4.81,2.1932
"   Waters, Anthony ",Chargers ,"$370,000 ","$598,000 ","$6,120 ","$376,120 ","$525,620 ",1.627140274,1.31,1.1446
"   Webster, Nate ",Broncos ,"$780,000 ",$0 ,"$650,000 ","$1,430,000 ","$1,030,000 ",45.45454545,17.06,4.1304
"   Wheeler, Philip ",Colts ,"$295,000 ","$644,000 ",$0 ,"$939,000 ","$456,000 ",0,1.62,1.2728
"   White, Tracy ",Packers ,"$705,000 ","$200,000 ","$505,000 ","$1,410,000 ","$860,000 ",35.81560284,0.62,0.7874
"   Wilhelm, Matt ",Chargers ,"$1,750,000 ","$2,625,000 ","$1,378,960 ","$3,128,960 ","$3,653,960 ",44.07087339,7.44,2.7276
"   Wilkinson, Gerris ",Giants ,"$445,000 ","$583,500 ","$3,960 ","$448,960 ","$594,835 ",0.882038489,1.38,1.1747
